,Jak Pan/Pani ocenia wygodę jazdy pojazdami komunikacji zbiorowej?,Jak Pan/Pani ocenia punktualność komunikacji zbiorowej we Wrocławiu?,Jak ocenia Pan/Pani efekty dotychczasowych działań związanych z rozbudową systemu rowerowego we Wrocławiu (dróg i parkingów rowerowych)?,PIESZO Niekorzystne ustawienia sygnalizacji świetlnej,PIESZO Brak chodników i konieczność poruszania się jezdnią/poboczem/wydeptaną ścieżką,PIESZO Zły stan nawierzchni chodników,PIESZO Zastawianie chodników przez parkujące samochody,PIESZO Niebezpieczne zachowania kierowców,PIESZO Zagrożenie ze strony rowerzystów poruszających się chodnikami,PIESZO Zbyt wysokie krawężniki,PIESZO Brak bieżącego utrzymania czystości/odśnieżania,PIESZO Niewystarczająca liczba przejść dla pieszych,"PIESZO Brak miejsc wypoczynku na trasie dojścia (np. ławki, zieleń)",PIESZO Uciążliwy ruch kołowy,PIESZO Niewłaściwe oświetlenie ciągów pieszych,Liczba osób w gospodarstwie domowym [ogółem],Liczba osób w gospodarstwie domowym [powyżej 6 roku życia],Rower,Przedział wiekowy,Płeć,Kondycja fizyczna,Opieka nad innymi osobami,Posiadanie prawa jazdy kat. B,Posiadanie biletu okresowego,Posiadanie ulgi na przejazd komunikację zbiorową,ŹRÓDŁO Czas rozpoczęcia,ŹRÓDŁO Z jakiego miejsca,ŹRÓDŁO Nr rejonu,CEL Do jakiego miejsca,CEL Nr rejonu,Pora dnia (godzina),Motywacje (skąd-dokąd),Środek transportu grupa,Samochód,Przebyta odległość,age_sex_comb,CEL_dom,CEL_inne,CEL_praca,CEL_szkoła,CEL_uczelnia,ŹRÓDŁO Godzina rozpoczęcia
2481,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,4,1,1,0,1,0,0.0,16:00:00,dom,62.0,inne,60.0,3,dom-Inne,2,1.0,346.46173394693983,45-60_K,0,1,0,0,0,16
2482,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,4,1,1,0,1,0,0.0,16:30:00,Inne,60.0,dom,62.0,3,Inne-dom,2,1.0,346.46173394693983,45-60_K,1,0,0,0,0,16
2483,4,4,2,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,4,0,1,0,1,0,0.0,06:45:00,dom,62.0,praca,182.0,1,dom-praca,0,1.0,5227.41058316228,45-65_M,0,0,1,0,0,6
2484,4,4,2,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,4,0,1,0,1,0,0.0,15:00:00,praca,182.0,dom,62.0,3,praca-dom,0,1.0,5227.41058316228,45-65_M,1,0,0,0,0,15
2485,3,3,4,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.0,1.0,5,0,0,0,1,0,1.0,10:00:00,dom,62.0,inne,67.0,2,dom-Inne,3,0.0,1228.7362248187524,66-x_M,0,1,0,0,0,10
2486,3,3,4,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.0,1.0,5,0,0,0,1,0,1.0,10:30:00,Inne,67.0,dom,62.0,2,Inne-dom,3,0.0,1228.7362248187524,66-x_M,1,0,0,0,0,10
2487,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,5,1,0,0,0,0,1.0,12:00:00,dom,62.0,inne,62.0,2,dom-Inne,2,0.0,0.0,61-x_K,0,1,0,0,0,12
2488,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,5,1,0,0,0,0,1.0,12:20:00,Inne,62.0,dom,62.0,2,Inne-dom,2,0.0,0.0,61-x_K,1,0,0,0,0,12
2489,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,1,0,0.5,11:00:00,dom,62.0,inne,189.0,2,dom-Inne,1,0.0,5616.3458670074715,61-x_K,0,1,0,0,0,11
2490,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,1,0,0.5,13:00:00,Inne,189.0,dom,62.0,2,Inne-dom,1,0.0,5616.3458670074715,61-x_K,1,0,0,0,0,13
2491,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,3.0,3,1,1,0,1,0,0.0,08:30:00,dom,137.0,inne,70.0,1,dom-Inne,0,2.0,3785.708401281914,25-44_K,0,1,0,0,0,8
2492,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,3.0,3,1,1,0,1,0,0.0,09:30:00,Inne,70.0,dom,137.0,1,Inne-dom,0,2.0,3785.708401281914,25-44_K,1,0,0,0,0,9
2493,3,0,4,0,0,1,1,0,0,0,0,0,0,0,0,3.0,3.0,3.0,3,0,1,0,1,0,0.0,07:15:00,dom,61.0,praca,135.0,1,dom-praca,0,1.0,1020.9114295174461,25-44_M,0,0,1,0,0,7
2494,3,0,4,0,0,1,1,0,0,0,0,0,0,0,0,3.0,3.0,3.0,3,0,1,0,1,0,0.0,16:00:00,praca,135.0,dom,61.0,3,praca-dom,0,1.0,1020.9114295174461,25-44_M,1,0,0,0,0,16
2495,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,3.0,4,0,1,0,1,0,0.0,07:00:00,dom,137.0,praca,235.0,1,dom-praca,0,2.0,13661.587650282641,45-65_M,0,0,1,0,0,7
2496,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,3.0,4,0,1,0,1,0,0.0,17:00:00,praca,235.0,dom,137.0,3,praca-dom,0,2.0,13661.587650282641,45-65_M,1,0,0,0,0,17
2497,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,3.0,0,0,1,0,0,0,0.5,07:50:00,dom,137.0,szkoła,135.0,1,dom-szkoła,2,2.0,406.15798031335476,6-15_M,0,0,0,1,0,7
2498,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,3.0,0,0,1,0,0,0,0.5,13:40:00,szkoła,135.0,dom,137.0,2,szkoła-dom,2,2.0,406.15798031335476,6-15_M,1,0,0,0,0,13
2499,3,0,4,0,1,1,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,3,1,1,0,1,1,0.0,06:30:00,dom,61.0,praca,283.0,1,dom-praca,1,1.0,6915.693139427822,25-44_K,0,0,1,0,0,6
2500,3,0,4,0,1,1,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,3,1,1,0,1,1,0.0,15:30:00,praca,283.0,dom,61.0,3,praca-dom,1,1.0,6915.693139427822,25-44_K,1,0,0,0,0,15
2501,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0,5.0,5.0,3.0,5,1,1,0,0,0,0.5,14:00:00,dom,137.0,inne,68.0,3,dom-Inne,0,2.0,2609.339766335532,61-x_K,0,1,0,0,0,14
2502,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0,5.0,5.0,3.0,5,1,1,0,0,0,0.5,14:50:00,Inne,68.0,dom,137.0,3,Inne-dom,0,2.0,2609.339766335532,61-x_K,1,0,0,0,0,14
2503,3,1,3,0,0,1,1,0,0,0,0,0,0,0,0,3.0,3.0,3.0,0,0,1,0,0,0,0.5,07:15:00,dom,61.0,szkoła,57.0,1,dom-szkoła,2,1.0,1047.362409133385,6-15_M,0,0,0,1,0,7
2504,3,1,3,0,0,1,1,0,0,0,0,0,0,0,0,3.0,3.0,3.0,0,0,1,0,0,0,0.5,13:00:00,szkoła,57.0,dom,61.0,2,szkoła-dom,2,1.0,1047.362409133385,6-15_M,1,0,0,0,0,13
2505,3,4,3,0,0,0,0,0,1,0,0,0,0,0,0,5.0,5.0,3.0,2,1,1,0,1,1,0.5,08:20:00,dom,137.0,uczelnia,453.0,1,dom-uczelnia,2,2.0,1273.9013504790541,20-24_K,0,0,0,0,1,8
2506,3,4,3,0,0,0,0,0,1,0,0,0,0,0,0,5.0,5.0,3.0,2,1,1,0,1,1,0.5,13:40:00,uczelnia,453.0,dom,137.0,2,uczelnia-dom,2,2.0,1273.9013504790541,20-24_K,1,0,0,0,0,13
2507,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,3,0,1,0,0,0,0.0,06:20:00,dom,61.0,praca,350.0,1,dom-praca,1,0.0,2670.208211861029,25-44_M,0,0,1,0,0,6
2508,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,3,0,1,0,0,0,0.0,15:10:00,praca,350.0,dom,61.0,3,praca-dom,1,0.0,2670.208211861029,25-44_M,1,0,0,0,0,15
2509,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,4,0,1,0,1,0,0.0,07:00:00,dom,137.0,praca,126.0,1,dom-praca,0,2.0,2528.9321879112,45-65_M,0,0,1,0,0,7
2510,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,4,0,1,0,1,0,0.0,17:10:00,praca,126.0,dom,137.0,3,praca-dom,0,2.0,2528.9321879112,45-65_M,1,0,0,0,0,17
2511,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,4.0,4.0,1.0,4,1,1,0,1,0,0.0,08:00:00,dom,137.0,praca,10.0,1,dom-praca,1,2.0,2915.4431102352096,45-60_K,0,0,1,0,0,8
2512,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,4.0,4.0,1.0,4,1,1,0,1,0,0.0,17:00:00,praca,10.0,dom,137.0,3,praca-dom,1,2.0,2915.4431102352096,45-60_K,1,0,0,0,0,17
2513,3,4,4,0,0,0,1,0,0,0,0,0,0,0,0,4.0,4.0,1.0,1,0,1,0,0,1,0.5,08:00:00,dom,137.0,szkoła,49.0,1,dom-szkoła,1,2.0,3211.0906689087456,16-19_M,0,0,0,1,0,8
2514,3,4,4,0,0,0,1,0,0,0,0,0,0,0,0,4.0,4.0,1.0,1,0,1,0,0,1,0.5,15:15:00,szkoła,49.0,dom,137.0,3,szkoła-dom,1,2.0,3211.0906689087456,16-19_M,1,0,0,0,0,15
2515,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,3,1,1,0,0,1,0.0,06:40:00,dom,61.0,praca,60.0,1,dom-praca,1,0.0,764.9592972419085,25-44_K,0,0,1,0,0,6
2516,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,3,1,1,0,0,1,0.0,15:30:00,praca,60.0,dom,61.0,3,praca-dom,1,0.0,764.9592972419085,25-44_K,1,0,0,0,0,15
2517,3,4,4,0,0,1,0,0,1,0,0,0,0,0,0,4.0,4.0,1.0,2,1,1,0,0,1,0.5,07:00:00,dom,137.0,uczelnia,2.0,1,dom-uczelnia,1,2.0,3772.6931340505703,20-24_K,0,0,0,0,1,7
2518,3,4,4,0,0,1,0,0,1,0,0,0,0,0,0,4.0,4.0,1.0,2,1,1,0,0,1,0.5,13:25:00,uczelnia,2.0,dom,137.0,2,uczelnia-dom,1,2.0,3772.6931340505703,20-24_K,1,0,0,0,0,13
2521,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3,1,1,1,1,0,0.0,17:30:00,dom,137.0,inne,61.0,3,dom-Inne,2,1.0,771.3395848167239,25-44_K,0,1,0,0,0,17
2522,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3,1,1,1,1,0,0.0,19:30:00,Inne,61.0,dom,137.0,4,Inne-dom,2,1.0,771.3395848167239,25-44_K,1,0,0,0,0,19
2523,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,0,0,1.0,12:00:00,dom,61.0,praca,339.0,2,dom-praca,1,0.0,1581.508884516548,61-x_K,0,0,1,0,0,12
2524,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,0,0,1.0,21:00:00,praca,339.0,dom,61.0,4,praca-dom,1,0.0,1581.508884516548,61-x_K,1,0,0,0,0,21
2525,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3,0,1,0,0,1,0.0,08:40:00,dom,137.0,praca,5.0,1,dom-praca,1,1.0,3123.453485380108,25-44_M,0,0,1,0,0,8
2526,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3,0,1,0,0,1,0.0,17:00:00,praca,5.0,dom,137.0,3,praca-dom,1,1.0,3123.453485380108,25-44_M,1,0,0,0,0,17
2527,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,1,0,1.0,11:00:00,dom,61.0,inne,102.0,2,dom-Inne,1,0.0,5734.793742646709,61-x_K,0,1,0,0,0,11
2528,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,1,0,1.0,14:15:00,Inne,102.0,dom,61.0,3,Inne-dom,1,0.0,5734.793742646709,61-x_K,1,0,0,0,0,14
2529,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,4.0,0,1,1,0,0,1,0.5,07:20:00,dom,137.0,szkoła,351.0,1,dom-szkoła,0,1.0,2930.1968916274504,6-15_K,0,0,0,1,0,7
2530,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,4.0,0,1,1,0,0,1,0.5,14:15:00,szkoła,351.0,dom,137.0,3,szkoła-dom,0,1.0,2930.1968916274504,6-15_K,1,0,0,0,0,14
2531,3,4,4,0,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,1,0,1.0,12:00:00,dom,61.0,inne,23.0,2,dom-Inne,1,0.0,1143.019128308877,61-x_K,0,1,0,0,0,12
2532,3,4,4,0,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,1,0,1.0,13:00:00,Inne,23.0,dom,61.0,2,Inne-dom,1,0.0,1143.019128308877,61-x_K,1,0,0,0,0,13
2533,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,4,1,1,0,0,0,0.0,05:30:00,dom,61.0,praca,453.0,1,dom-praca,3,0.0,508.09023814712856,45-60_K,0,0,1,0,0,5
2534,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,4,1,1,0,0,0,0.0,14:00:00,praca,453.0,dom,61.0,3,praca-dom,3,0.0,508.09023814712856,45-60_K,1,0,0,0,0,14
2535,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,6.0,4.0,2.0,3,1,1,1,1,0,0.0,08:00:00,dom,137.0,inne,57.0,1,dom-Inne,2,2.0,893.8947245757215,25-44_K,0,1,0,0,0,8
2536,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,6.0,4.0,2.0,3,1,1,1,1,0,0.0,08:15:00,Inne,57.0,dom,137.0,1,Inne-dom,2,2.0,893.8947245757215,25-44_K,1,0,0,0,0,8
2537,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,6.0,4.0,2.0,3,1,1,1,1,0,0.0,16:15:00,dom,137.0,inne,57.0,3,dom-Inne,2,2.0,893.8947245757215,25-44_K,0,1,0,0,0,16
2538,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,6.0,4.0,2.0,3,1,1,1,1,0,0.0,16:30:00,Inne,57.0,dom,137.0,3,Inne-dom,2,2.0,893.8947245757215,25-44_K,1,0,0,0,0,16
2539,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,1,0,0,0,1,0.5,09:50:00,dom,61.0,inne,68.0,1,dom-Inne,1,0.0,2046.4607057581902,61-x_K,0,1,0,0,0,9
2540,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,1,0,0,0,1,0.5,11:00:00,Inne,68.0,dom,61.0,2,Inne-dom,1,0.0,2046.4607057581902,61-x_K,1,0,0,0,0,11
2542,4,4,3,0,0,1,0,0,1,0,0,0,0,0,0,5.0,5.0,4.0,4,1,1,0,0,1,0.0,06:35:00,dom,15.0,praca,215.0,1,dom-praca,1,0.0,10139.51505057986,45-60_K,0,0,1,0,0,6
2543,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,6.0,4.0,2.0,3,0,1,0,1,0,0.5,05:00:00,dom,137.0,praca,216.0,1,dom-praca,0,2.0,10403.609016394032,25-44_M,0,0,1,0,0,5
2544,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,6.0,4.0,2.0,3,0,1,0,1,0,0.5,17:30:00,praca,216.0,dom,137.0,3,praca-dom,0,2.0,10403.609016394032,25-44_M,1,0,0,0,0,17
2545,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,2,0,1,0,0,1,0.0,07:00:00,dom,61.0,praca,1.0,1,dom-praca,1,0.0,2630.209467321935,20-24_M,0,0,1,0,0,7
2546,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,2,0,1,0,0,1,0.0,15:30:00,praca,1.0,dom,61.0,3,praca-dom,1,0.0,2630.209467321935,20-24_M,1,0,0,0,0,15
2547,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,6.0,4.0,2.0,1,0,1,0,0,0,0.5,07:20:00,dom,137.0,szkoła,49.0,1,dom-szkoła,1,2.0,3211.0906689087456,16-19_M,0,0,0,1,0,7
2548,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,6.0,4.0,2.0,1,0,1,0,0,0,0.5,14:20:00,szkoła,49.0,dom,137.0,3,szkoła-dom,1,2.0,3211.0906689087456,16-19_M,1,0,0,0,0,14
2549,3,2,3,0,0,1,1,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,1,1,0,1,0,0.0,07:00:00,dom,61.0,praca,105.0,1,dom-praca,0,1.0,6396.360606902685,25-44_K,0,0,1,0,0,7
2550,3,2,3,0,0,1,1,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,1,1,0,1,0,0.0,15:30:00,praca,105.0,dom,61.0,3,praca-dom,0,1.0,6396.360606902685,25-44_K,1,0,0,0,0,15
2551,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,0,0.0,09:00:00,dom,61.0,praca,4.0,1,dom-praca,1,1.0,2771.9409885214063,25-44_M,0,0,1,0,0,9
2552,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,0,0.0,21:00:00,praca,4.0,dom,61.0,4,praca-dom,1,1.0,2771.9409885214063,25-44_M,1,0,0,0,0,21
2553,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6.0,4.0,2.0,0,1,1,0,0,0,0.0,08:00:00,dom,137.0,inne,57.0,1,dom-Inne,2,2.0,893.8947245757215,6-15_K,0,1,0,0,0,8
2554,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6.0,4.0,2.0,0,1,1,0,0,0,0.0,16:30:00,Inne,57.0,dom,137.0,3,Inne-dom,2,2.0,893.8947245757215,6-15_K,1,0,0,0,0,16
2555,4,4,3,0,0,1,1,0,0,0,0,0,0,0,0,2.0,2.0,2.0,5,0,1,0,1,0,1.0,09:00:00,dom,137.0,inne,133.0,1,dom-Inne,1,1.0,1166.8397324209323,66-x_M,0,1,0,0,0,9
2556,4,4,3,0,0,1,1,0,0,0,0,0,0,0,0,2.0,2.0,2.0,5,0,1,0,1,0,1.0,10:20:00,Inne,133.0,dom,137.0,2,Inne-dom,1,1.0,1166.8397324209323,66-x_M,1,0,0,0,0,10
2557,4,4,3,0,0,1,1,0,0,0,0,0,0,0,0,2.0,2.0,2.0,5,0,1,0,1,0,1.0,11:00:00,dom,137.0,inne,140.0,2,dom-Inne,3,1.0,1307.3385077353187,66-x_M,0,1,0,0,0,11
2558,4,4,3,0,0,1,1,0,0,0,0,0,0,0,0,2.0,2.0,2.0,5,0,1,0,1,0,1.0,14:50:00,Inne,140.0,dom,137.0,3,Inne-dom,3,1.0,1307.3385077353187,66-x_M,1,0,0,0,0,14
2559,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,3,0,0,0,1,0,0.0,21:00:00,dom,61.0,praca,245.0,4,dom-praca,0,0.0,9034.721874553095,25-44_M,0,0,1,0,0,21
2560,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,3,1,1,1,1,0,0.0,09:30:00,dom,61.0,inne,62.0,1,dom-Inne,2,0.0,555.6233410890814,25-44_K,0,1,0,0,0,9
2561,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,3,1,1,1,1,0,0.0,10:00:00,Inne,62.0,dom,61.0,2,Inne-dom,2,0.0,555.6233410890814,25-44_K,1,0,0,0,0,10
2562,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,5,1,1,0,0,1,0.5,11:00:00,dom,137.0,inne,339.0,2,dom-Inne,1,1.0,2331.1115400554704,61-x_K,0,1,0,0,0,11
2563,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,5,1,1,0,0,1,0.5,12:50:00,Inne,339.0,dom,137.0,2,Inne-dom,1,1.0,2331.1115400554704,61-x_K,1,0,0,0,0,12
2568,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,2.0,2.0,1.0,3,1,1,0,1,1,0.0,07:40:00,dom,61.0,praca,1.0,1,dom-praca,1,2.0,2630.209467321935,25-44_K,0,0,1,0,0,7
2569,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,2.0,2.0,1.0,3,1,1,0,1,1,0.0,17:00:00,praca,1.0,dom,61.0,3,praca-dom,1,2.0,2630.209467321935,25-44_K,1,0,0,0,0,17
2570,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,3,0,1,0,1,0,0.0,07:40:00,dom,61.0,praca,60.0,1,dom-praca,0,2.0,764.9592972419085,25-44_M,0,0,1,0,0,7
2571,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,3,0,1,0,1,0,0.0,16:15:00,praca,60.0,dom,61.0,3,praca-dom,0,2.0,764.9592972419085,25-44_M,1,0,0,0,0,16
2572,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,2.0,4,0,1,0,1,0,0.0,06:30:00,dom,61.0,praca,180.0,1,dom-praca,0,1.0,3699.8693254143113,45-65_M,0,0,1,0,0,6
2573,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,2.0,4,0,1,0,1,0,0.0,15:00:00,praca,180.0,dom,61.0,3,praca-dom,0,1.0,3699.8693254143113,45-65_M,1,0,0,0,0,15
2574,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,2.0,4,1,1,0,0,0,0.0,06:30:00,dom,61.0,praca,54.0,1,dom-praca,0,1.0,1804.9594463859653,45-60_K,0,0,1,0,0,6
2575,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,2.0,4,1,1,0,0,0,0.0,19:20:00,praca,54.0,dom,61.0,4,praca-dom,0,1.0,1804.9594463859653,45-60_K,1,0,0,0,0,19
2577,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,2.0,2,1,1,0,0,0,0.0,06:30:00,dom,61.0,praca,270.0,1,dom-praca,1,1.0,5016.621107861871,20-24_K,0,0,1,0,0,6
2578,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,2.0,2,1,1,0,0,0,0.0,15:10:00,praca,270.0,dom,61.0,3,praca-dom,1,1.0,5016.621107861871,20-24_K,1,0,0,0,0,15
2579,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,3.0,1.0,1,0,1,0,1,1,0.5,08:00:00,dom,39.0,szkoła,49.0,1,dom-szkoła,0,3.0,2013.899456297972,16-19_M,0,0,0,1,0,8
2580,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,3.0,1.0,1,0,1,0,1,1,0.5,17:00:00,szkoła,49.0,dom,39.0,3,szkoła-dom,0,3.0,2013.899456297972,16-19_M,1,0,0,0,0,17
2581,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,1,1,1,0,1,1,0.5,07:30:00,dom,39.0,szkoła,10.0,1,dom-szkoła,1,3.0,1904.8470329888526,16-19_K,0,0,0,1,0,7
2582,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,1,1,1,0,1,1,0.5,14:40:00,szkoła,10.0,dom,39.0,3,szkoła-dom,1,3.0,1904.8470329888526,16-19_K,1,0,0,0,0,14
2583,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,1,1,0,1,0,0.0,07:15:00,dom,39.0,praca,38.0,1,dom-praca,0,3.0,782.4321825413332,45-60_K,0,0,1,0,0,7
2584,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,1,1,0,1,0,0.0,15:30:00,praca,38.0,dom,39.0,3,praca-dom,0,3.0,782.4321825413332,45-60_K,1,0,0,0,0,15
2585,3,4,4,0,0,1,0,0,1,0,0,0,0,0,0,3.0,3.0,0.0,5,1,1,0,0,1,0.5,09:00:00,dom,39.0,inne,351.0,1,dom-Inne,2,0.0,1730.8065333044456,61-x_K,0,1,0,0,0,9
2586,3,4,4,0,0,1,0,0,1,0,0,0,0,0,0,3.0,3.0,0.0,5,1,1,0,0,1,0.5,09:30:00,Inne,351.0,inne,4.0,1,Inne-Inne,2,0.0,749.6920861175907,61-x_K,0,1,0,0,0,9
2587,3,4,4,0,0,1,0,0,1,0,0,0,0,0,0,3.0,3.0,0.0,5,1,1,0,0,1,0.5,10:40:00,Inne,4.0,dom,39.0,2,Inne-dom,1,0.0,1389.3197131375084,61-x_K,1,0,0,0,0,10
2589,4,4,4,0,0,1,1,0,0,0,0,0,0,0,0,3.0,3.0,0.0,4,1,1,0,0,1,0.0,09:30:00,dom,39.0,praca,26.0,1,dom-praca,2,0.0,1490.0608364575903,45-60_K,0,0,1,0,0,9
2590,4,4,4,0,0,1,1,0,0,0,0,0,0,0,0,3.0,3.0,0.0,4,1,1,0,0,1,0.0,18:00:00,praca,26.0,dom,39.0,3,praca-dom,1,0.0,1490.0608364575903,45-60_K,1,0,0,0,0,18
2591,3,4,1,0,0,1,0,0,1,0,0,0,0,0,0,3.0,3.0,0.0,5,1,0,0,0,0,1.0,09:30:00,dom,39.0,inne,332.0,1,dom-Inne,1,1.0,2295.8328929302397,61-x_K,0,1,0,0,0,9
2592,3,4,1,0,0,1,0,0,1,0,0,0,0,0,0,3.0,3.0,0.0,5,1,0,0,0,0,1.0,10:45:00,Inne,332.0,dom,39.0,2,Inne-dom,1,1.0,2295.8328929302397,61-x_K,1,0,0,0,0,10
2593,3,4,1,0,0,1,0,0,1,0,0,0,0,0,0,3.0,3.0,0.0,5,0,0,0,1,0,1.0,05:20:00,dom,39.0,praca,80.0,1,dom-praca,0,1.0,4261.813702727765,66-x_M,0,0,1,0,0,5
2594,3,4,1,0,0,1,0,0,1,0,0,0,0,0,0,3.0,3.0,0.0,5,0,0,0,1,0,1.0,14:30:00,praca,80.0,dom,39.0,3,praca-dom,0,1.0,4261.813702727765,66-x_M,1,0,0,0,0,14
2597,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,0,0,1.0,08:00:00,dom,39.0,inne,38.0,1,dom-Inne,1,0.0,782.4321825413332,61-x_K,0,1,0,0,0,8
2598,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,0,0,1.0,11:00:00,Inne,38.0,dom,39.0,2,Inne-dom,2,0.0,782.4321825413332,61-x_K,1,0,0,0,0,11
