,0
246,Numer regionu miejsca startu (5)_Unnamed: 246_level_1
247,Numer regionu miejsca zakończenia (5)_Unnamed: 247_level_1
248,Miejsce zakończenia (5)_Unnamed: 248_level_1
249,ID podróży (6)_Unnamed: 249_level_1
250,Data rozpoczecia podróży (6)_Unnamed: 250_level_1
251,Czas trwania podróży [s] (6)_Unnamed: 251_level_1
252,Środek transportu (6)_Unnamed: 252_level_1
253,Typ miejsca startu (6)_Unnamed: 253_level_1
254,Typ miejsca zakończenia (6)_Unnamed: 254_level_1
255,Miejsce startu (6)_Unnamed: 255_level_1
256,Numer regionu miejsca startu (6)_Unnamed: 256_level_1
257,Numer regionu miejsca zakończenia (6)_Unnamed: 257_level_1
258,Miejsce zakończenia (6)_Unnamed: 258_level_1
259,ID podróży (7)_Unnamed: 259_level_1
260,Data rozpoczecia podróży (7)_Unnamed: 260_level_1
261,Czas trwania podróży [s] (7)_Unnamed: 261_level_1
262,Środek transportu (7)_Unnamed: 262_level_1
263,Typ miejsca startu (7)_Unnamed: 263_level_1
264,Typ miejsca zakończenia (7)_Unnamed: 264_level_1
265,Miejsce startu (7)_Unnamed: 265_level_1
266,Numer regionu miejsca startu (7)_Unnamed: 266_level_1
267,Numer regionu miejsca zakończenia (7)_Unnamed: 267_level_1
268,Miejsce zakończenia (7)_Unnamed: 268_level_1
269,ID podróży (8)_Unnamed: 269_level_1
270,Data rozpoczecia podróży (8)_Unnamed: 270_level_1
271,Czas trwania podróży [s] (8)_Unnamed: 271_level_1
272,Środek transportu (8)_Unnamed: 272_level_1
273,Typ miejsca startu (8)_Unnamed: 273_level_1
274,Typ miejsca zakończenia (8)_Unnamed: 274_level_1
275,Miejsce startu (8)_Unnamed: 275_level_1
276,Numer regionu miejsca startu (8)_Unnamed: 276_level_1
277,Numer regionu miejsca zakończenia (8)_Unnamed: 277_level_1
278,Miejsce zakończenia (8)_Unnamed: 278_level_1
279,ID podróży (9)_Unnamed: 279_level_1
280,Data rozpoczecia podróży (9)_Unnamed: 280_level_1
281,Czas trwania podróży [s] (9)_Unnamed: 281_level_1
282,Środek transportu (9)_Unnamed: 282_level_1
283,Typ miejsca startu (9)_Unnamed: 283_level_1
284,Typ miejsca zakończenia (9)_Unnamed: 284_level_1
285,Miejsce startu (9)_Unnamed: 285_level_1
286,Numer regionu miejsca startu (9)_Unnamed: 286_level_1
287,Numer regionu miejsca zakończenia (9)_Unnamed: 287_level_1
288,Miejsce zakończenia (9)_Unnamed: 288_level_1
289,ID podróży (10)_Unnamed: 289_level_1
290,Data rozpoczecia podróży (10)_Unnamed: 290_level_1
291,Czas trwania podróży [s] (10)_Unnamed: 291_level_1
292,Środek transportu (10)_Unnamed: 292_level_1
293,Typ miejsca startu (10)_Unnamed: 293_level_1
294,Typ miejsca zakończenia (10)_Unnamed: 294_level_1
295,Miejsce startu (10)_Unnamed: 295_level_1
296,Numer regionu miejsca startu (10)_Unnamed: 296_level_1
297,Numer regionu miejsca zakończenia (10)_Unnamed: 297_level_1
298,Miejsce zakończenia (10)_Unnamed: 298_level_1
299,ID podróży (11)_Unnamed: 299_level_1
300,Data rozpoczecia podróży (11)_Unnamed: 300_level_1
301,Czas trwania podróży [s] (11)_Unnamed: 301_level_1
302,Środek transportu (11)_Unnamed: 302_level_1
303,Typ miejsca startu (11)_Unnamed: 303_level_1
304,Typ miejsca zakończenia (11)_Unnamed: 304_level_1
305,Miejsce startu (11)_Unnamed: 305_level_1
306,Numer regionu miejsca startu (11)_Unnamed: 306_level_1
307,Numer regionu miejsca zakończenia (11)_Unnamed: 307_level_1
308,Miejsce zakończenia (11)_Unnamed: 308_level_1
309,ID podróży (12)_Unnamed: 309_level_1
310,Data rozpoczecia podróży (12)_Unnamed: 310_level_1
311,Czas trwania podróży [s] (12)_Unnamed: 311_level_1
312,Środek transportu (12)_Unnamed: 312_level_1
313,Typ miejsca startu (12)_Unnamed: 313_level_1
314,Typ miejsca zakończenia (12)_Unnamed: 314_level_1
315,Miejsce startu (12)_Unnamed: 315_level_1
316,Numer regionu miejsca startu (12)_Unnamed: 316_level_1
317,Numer regionu miejsca zakończenia (12)_Unnamed: 317_level_1
318,Miejsce zakończenia (12)_Unnamed: 318_level_1
319,ID podróży (13)_Unnamed: 319_level_1
320,Data rozpoczecia podróży (13)_Unnamed: 320_level_1
321,Czas trwania podróży [s] (13)_Unnamed: 321_level_1
322,Środek transportu (13)_Unnamed: 322_level_1
323,Typ miejsca startu (13)_Unnamed: 323_level_1
324,Typ miejsca zakończenia (13)_Unnamed: 324_level_1
325,Miejsce startu (13)_Unnamed: 325_level_1
326,Numer regionu miejsca startu (13)_Unnamed: 326_level_1
327,Numer regionu miejsca zakończenia (13)_Unnamed: 327_level_1
328,Miejsce zakończenia (13)_Unnamed: 328_level_1
329,ID podróży (14)_Unnamed: 329_level_1
330,Data rozpoczecia podróży (14)_Unnamed: 330_level_1
331,Czas trwania podróży [s] (14)_Unnamed: 331_level_1
332,Środek transportu (14)_Unnamed: 332_level_1
333,Typ miejsca startu (14)_Unnamed: 333_level_1
334,Typ miejsca zakończenia (14)_Unnamed: 334_level_1
335,Miejsce startu (14)_Unnamed: 335_level_1
336,Numer regionu miejsca startu (14)_Unnamed: 336_level_1
337,Numer regionu miejsca zakończenia (14)_Unnamed: 337_level_1
338,Miejsce zakończenia (14)_Unnamed: 338_level_1
339,ID podróży (15)_Unnamed: 339_level_1
340,Data rozpoczecia podróży (15)_Unnamed: 340_level_1
341,Czas trwania podróży [s] (15)_Unnamed: 341_level_1
342,Środek transportu (15)_Unnamed: 342_level_1
343,Typ miejsca startu (15)_Unnamed: 343_level_1
344,Typ miejsca zakończenia (15)_Unnamed: 344_level_1
345,Miejsce startu (15)_Unnamed: 345_level_1
346,Numer regionu miejsca startu (15)_Unnamed: 346_level_1
347,Numer regionu miejsca zakończenia (15)_Unnamed: 347_level_1
348,Miejsce zakończenia (15)_Unnamed: 348_level_1
349,ID podróży (16)_Unnamed: 349_level_1
350,Data rozpoczecia podróży (16)_Unnamed: 350_level_1
351,Czas trwania podróży [s] (16)_Unnamed: 351_level_1
352,Środek transportu (16)_Unnamed: 352_level_1
353,Typ miejsca startu (16)_Unnamed: 353_level_1
354,Typ miejsca zakończenia (16)_Unnamed: 354_level_1
355,Miejsce startu (16)_Unnamed: 355_level_1
356,Numer regionu miejsca startu (16)_Unnamed: 356_level_1
357,Numer regionu miejsca zakończenia (16)_Unnamed: 357_level_1
358,Miejsce zakończenia (16)_Unnamed: 358_level_1
359,ID podróży (17)_Unnamed: 359_level_1
360,Data rozpoczecia podróży (17)_Unnamed: 360_level_1
361,Czas trwania podróży [s] (17)_Unnamed: 361_level_1
362,Środek transportu (17)_Unnamed: 362_level_1
363,Typ miejsca startu (17)_Unnamed: 363_level_1
364,Typ miejsca zakończenia (17)_Unnamed: 364_level_1
365,Miejsce startu (17)_Unnamed: 365_level_1
366,Numer regionu miejsca startu (17)_Unnamed: 366_level_1
367,Numer regionu miejsca zakończenia (17)_Unnamed: 367_level_1
368,Miejsce zakończenia (17)_Unnamed: 368_level_1
369,ID podróży (18)_Unnamed: 369_level_1
370,Data rozpoczecia podróży (18)_Unnamed: 370_level_1
371,Czas trwania podróży [s] (18)_Unnamed: 371_level_1
372,Środek transportu (18)_Unnamed: 372_level_1
373,Typ miejsca startu (18)_Unnamed: 373_level_1
374,Typ miejsca zakończenia (18)_Unnamed: 374_level_1
375,Miejsce startu (18)_Unnamed: 375_level_1
376,Numer regionu miejsca startu (18)_Unnamed: 376_level_1
377,Numer regionu miejsca zakończenia (18)_Unnamed: 377_level_1
378,Miejsce zakończenia (18)_Unnamed: 378_level_1
379,ID podróży (19)_Unnamed: 379_level_1
380,Data rozpoczecia podróży (19)_Unnamed: 380_level_1
381,Czas trwania podróży [s] (19)_Unnamed: 381_level_1
382,Środek transportu (19)_Unnamed: 382_level_1
383,Typ miejsca startu (19)_Unnamed: 383_level_1
384,Typ miejsca zakończenia (19)_Unnamed: 384_level_1
385,Miejsce startu (19)_Unnamed: 385_level_1
386,Numer regionu miejsca startu (19)_Unnamed: 386_level_1
387,Numer regionu miejsca zakończenia (19)_Unnamed: 387_level_1
388,Miejsce zakończenia (19)_Unnamed: 388_level_1
389,ID podróży (20)_Unnamed: 389_level_1
390,Data rozpoczecia podróży (20)_Unnamed: 390_level_1
391,Czas trwania podróży [s] (20)_Unnamed: 391_level_1
392,Środek transportu (20)_Unnamed: 392_level_1
393,Typ miejsca startu (20)_Unnamed: 393_level_1
394,Typ miejsca zakończenia (20)_Unnamed: 394_level_1
395,Miejsce startu (20)_Unnamed: 395_level_1
396,Numer regionu miejsca startu (20)_Unnamed: 396_level_1
397,Numer regionu miejsca zakończenia (20)_Unnamed: 397_level_1
398,Miejsce zakończenia (20)_Unnamed: 398_level_1
399,ID podróży (21)_Unnamed: 399_level_1
400,Data rozpoczecia podróży (21)_Unnamed: 400_level_1
401,Czas trwania podróży [s] (21)_Unnamed: 401_level_1
402,Środek transportu (21)_Unnamed: 402_level_1
403,Typ miejsca startu (21)_Unnamed: 403_level_1
404,Typ miejsca zakończenia (21)_Unnamed: 404_level_1
405,Miejsce startu (21)_Unnamed: 405_level_1
406,Numer regionu miejsca startu (21)_Unnamed: 406_level_1
407,Numer regionu miejsca zakończenia (21)_Unnamed: 407_level_1
408,Miejsce zakończenia (21)_Unnamed: 408_level_1
409,ID podróży (22)_Unnamed: 409_level_1
410,Data rozpoczecia podróży (22)_Unnamed: 410_level_1
411,Czas trwania podróży [s] (22)_Unnamed: 411_level_1
412,Środek transportu (22)_Unnamed: 412_level_1
413,Typ miejsca startu (22)_Unnamed: 413_level_1
414,Typ miejsca zakończenia (22)_Unnamed: 414_level_1
415,Miejsce startu (22)_Unnamed: 415_level_1
416,Numer regionu miejsca startu (22)_Unnamed: 416_level_1
417,Numer regionu miejsca zakończenia (22)_Unnamed: 417_level_1
418,Miejsce zakończenia (22)_Unnamed: 418_level_1
419,ID podróży (23)_Unnamed: 419_level_1
420,Data rozpoczecia podróży (23)_Unnamed: 420_level_1
421,Czas trwania podróży [s] (23)_Unnamed: 421_level_1
422,Środek transportu (23)_Unnamed: 422_level_1
423,Typ miejsca startu (23)_Unnamed: 423_level_1
424,Typ miejsca zakończenia (23)_Unnamed: 424_level_1
425,Miejsce startu (23)_Unnamed: 425_level_1
426,Numer regionu miejsca startu (23)_Unnamed: 426_level_1
427,Numer regionu miejsca zakończenia (23)_Unnamed: 427_level_1
428,Miejsce zakończenia (23)_Unnamed: 428_level_1
429,ID podróży (24)_Unnamed: 429_level_1
430,Data rozpoczecia podróży (24)_Unnamed: 430_level_1
431,Czas trwania podróży [s] (24)_Unnamed: 431_level_1
432,Środek transportu (24)_Unnamed: 432_level_1
433,Typ miejsca startu (24)_Unnamed: 433_level_1
434,Typ miejsca zakończenia (24)_Unnamed: 434_level_1
435,Miejsce startu (24)_Unnamed: 435_level_1
436,Numer regionu miejsca startu (24)_Unnamed: 436_level_1
437,Numer regionu miejsca zakończenia (24)_Unnamed: 437_level_1
438,Miejsce zakończenia (24)_Unnamed: 438_level_1
439,ID podróży (25)_Unnamed: 439_level_1
440,Data rozpoczecia podróży (25)_Unnamed: 440_level_1
441,Czas trwania podróży [s] (25)_Unnamed: 441_level_1
442,Środek transportu (25)_Unnamed: 442_level_1
443,Typ miejsca startu (25)_Unnamed: 443_level_1
444,Typ miejsca zakończenia (25)_Unnamed: 444_level_1
445,Miejsce startu (25)_Unnamed: 445_level_1
446,Numer regionu miejsca startu (25)_Unnamed: 446_level_1
447,Numer regionu miejsca zakończenia (25)_Unnamed: 447_level_1
448,Miejsce zakończenia (25)_Unnamed: 448_level_1
449,ID podróży (26)_Unnamed: 449_level_1
450,Data rozpoczecia podróży (26)_Unnamed: 450_level_1
451,Czas trwania podróży [s] (26)_Unnamed: 451_level_1
452,Środek transportu (26)_Unnamed: 452_level_1
453,Typ miejsca startu (26)_Unnamed: 453_level_1
454,Typ miejsca zakończenia (26)_Unnamed: 454_level_1
455,Miejsce startu (26)_Unnamed: 455_level_1
456,Numer regionu miejsca startu (26)_Unnamed: 456_level_1
457,Numer regionu miejsca zakończenia (26)_Unnamed: 457_level_1
458,Miejsce zakończenia (26)_Unnamed: 458_level_1
459,ID podróży (27)_Unnamed: 459_level_1
460,Data rozpoczecia podróży (27)_Unnamed: 460_level_1
461,Czas trwania podróży [s] (27)_Unnamed: 461_level_1
462,Środek transportu (27)_Unnamed: 462_level_1
463,Typ miejsca startu (27)_Unnamed: 463_level_1
464,Typ miejsca zakończenia (27)_Unnamed: 464_level_1
465,Miejsce startu (27)_Unnamed: 465_level_1
466,Numer regionu miejsca startu (27)_Unnamed: 466_level_1
467,Numer regionu miejsca zakończenia (27)_Unnamed: 467_level_1
468,Miejsce zakończenia (27)_Unnamed: 468_level_1
