,0
277,"Przemieszczenie 5_przemieszczenie 4
Komunikacja zbiorowa [KZ]"
278,"Przemieszczenie 5_przemieszczenie 5
Komunikacja zbiorowa [KZ]"
279,"Przemieszczenie 5_przemieszczenie 6
Komunikacja zbiorowa [KZ]"
280,Przemieszczenie 5_Czy w przemieszczeniu wystąpiło przemieszczenie KZ?
281,"Przemieszczenie 5_Liczba przesiadek
[komunikacja zbiorowa]"
282,Przemieszczenie 1_czas dojścia
283,Przemieszczenie 2_czas dojścia
284,Przemieszczenie 3_czas dojścia
285,Przemieszczenie 4_czas dojścia
286,Przemieszczenie 5_czas dojścia
287,Przemieszczenie 1_czas ogólnie
288,Przemieszczenie 2_czas ogólnie
289,Przemieszczenie 3_czas ogólnie
290,Przemieszczenie 4_czas ogólnie
291,Przemieszczenie 5_czas ogólnie
292,Przemieszczenie 5_c
293,Przemieszczenie 5_00:05:00
294,12290.267442599752_współczynnik korygujący
295,12290.267442599752_Numer rejonu zagregowanego
296,12290.267442599752_a
297,12290.267442599752_b
298,12290.267442599752_średnie napełnienie
299,12290.267442599752_motywacje grupy
